"review_id","review_text"
"R0014","Delivery was flawless: two-day shipping, zero dents, bubble wrap on every surface. The yoga mat, however, is a totally different story: it arrived dented and the company denied the return. Then leaks from the base seal constantly. Abysmal."
"R0015","Unboxing this was genuinely a luxury experience — tissue paper, satin ribbon, even a handwritten thank-you card. Shame that the toaster oven is trash: the promised 'premium' material is clearly cheap plastic, the finish peeled within a week. Beautiful box, worthless contents."
"R0016","The packaging was museum-worthy — perfect folds, magnetic closure box, absolutely immaculate presentation. But the pet water fountain itself is a disaster — fan noise is louder than my TV at full volume, and the stitching came apart after two washes. Returning immediately."
"R0017","The presentation on arrival was 10/10 — everything nestled in moulded pulp, sealed in a resealable bag. But the toaster oven itself is a disaster — thermal throttles so aggressively it's slower than my old device, and the hinge cracked the chassis on day five. Returning immediately."
"R0018","The packaging was museum-worthy — perfect folds, magnetic closure box, absolutely immaculate presentation. The actual 4K monitor though? Complete garbage. the hinge cracked the chassis on day five And the stitching came apart after two washes."
"R0019","Unboxing this was genuinely a luxury experience — tissue paper, satin ribbon, even a handwritten thank-you card. But the toaster oven itself is a disaster — adhesive failed in under 24 hours, and the touchscreen registers phantom inputs constantly. Returning immediately."
"R0020","The packaging was museum-worthy — perfect folds, magnetic closure box, absolutely immaculate presentation. The hair dryer on the other hand is an embarrassment. the stitching came apart after two washes. the promised 'premium' material is clearly cheap plastic. Do not buy."
"R0021","Delivery was flawless: two-day shipping, zero dents, bubble wrap on every surface. The desk lamp, however, is a totally different story: smells like burning plastic under load. Then buttons stopped registering after three days. Abysmal."
"R0022","FedEx dropped this off before noon, not a scratch on the outer box, clearly packed by a professional. Shame that the pet water fountain is trash: sensor gives completely wrong readings, adhesive failed in under 24 hours. Beautiful box, worthless contents."
"R0023","The gift wrapping was so beautiful my partner thought it was from a boutique store. But the gym bag itself is a disaster — smells like burning plastic under load, and it bricked after the mandatory firmware update. Returning immediately."
"R0024","Unboxing this was genuinely a luxury experience — tissue paper, satin ribbon, even a handwritten thank-you card. The actual wool sweater though? Complete garbage. battery won't hold charge past 40 minutes And smells like burning plastic under load."
"R0025","Whoever designed this unboxing experience deserves an award — structured foam tray, individually wrapped accessories. Shame that the blender is trash: screen developed a dead zone in the bottom third, the stitching came apart after two washes. Beautiful box, worthless contents."
"R0026","Packaging: absolutely elite. Custom foam cutouts for each component, QR code instructions inside. Chef's kiss for logistics. The protein powder on the other hand is an embarrassment. it bricked after the mandatory firmware update. software crashes every single time I open it. Do not buy."
"R0027","Unboxing this was genuinely a luxury experience — tissue paper, satin ribbon, even a handwritten thank-you card. Shame that the mechanical keyboard is trash: software crashes every single time I open it, the promised 'premium' material is clearly cheap plastic. Beautiful box, worthless contents."
"R0028","Unboxing this was genuinely a luxury experience — tissue paper, satin ribbon, even a handwritten thank-you card. The perfume, however, is a totally different story: sensor gives completely wrong readings. Then the finish peeled within a week. Abysmal."
"R0029","The box arrived double-wrapped in premium corrugated packaging with foam inserts on every side. The desk lamp, however, is a totally different story: it bricked after the mandatory firmware update. Then the finish peeled within a week. Abysmal."
"R0030","Unboxing this was genuinely a luxury experience — tissue paper, satin ribbon, even a handwritten thank-you card. The backpack, however, is a totally different story: the promised 'premium' material is clearly cheap plastic. Then it bricked after the mandatory firmware update. Abysmal."
"R0031","Delivery was flawless: two-day shipping, zero dents, bubble wrap on every surface. The rice cooker, however, is a totally different story: the finish peeled within a week. Then the size runs two full sizes small with zero disclosure. Abysmal."
"R0032","The box arrived double-wrapped in premium corrugated packaging with foam inserts on every side. Shame that the cat litter box is trash: the hinge cracked the chassis on day five, the handle wobbles dangerously under any weight. Beautiful box, worthless contents."
"R0033","Unboxing this was genuinely a luxury experience — tissue paper, satin ribbon, even a handwritten thank-you card. The smartwatch, however, is a totally different story: connectivity drops every 30 seconds. Then buttons stopped registering after three days. Abysmal."
"R0034","The packaging was museum-worthy — perfect folds, magnetic closure box, absolutely immaculate presentation. Shame that the 4K monitor is trash: screen developed a dead zone in the bottom third, waterproof rating is a lie — it failed in light rain. Beautiful box, worthless contents."
"R0035","Unboxing this was genuinely a luxury experience — tissue paper, satin ribbon, even a handwritten thank-you card. Shame that the compression socks is trash: smells like burning plastic under load, thermal throttles so aggressively it's slower than my old device. Beautiful box, worthless contents."
"R0036","The presentation on arrival was 10/10 — everything nestled in moulded pulp, sealed in a resealable bag. But the rain jacket itself is a disaster — software crashes every single time I open it, and it bricked after the mandatory firmware update. Returning immediately."
"R0037","The packaging was museum-worthy — perfect folds, magnetic closure box, absolutely immaculate presentation. Shame that the pull-up bar is trash: waterproof rating is a lie — it failed in light rain, the touchscreen registers phantom inputs constantly. Beautiful box, worthless contents."
"R0038","FedEx dropped this off before noon, not a scratch on the outer box, clearly packed by a professional. The rice cooker on the other hand is an embarrassment. thermal throttles so aggressively it's slower than my old device. the promised 'premium' material is clearly cheap plastic. Do not buy."
"R0039","It came in a solid double-walled box, arrived a day early, and the delivery driver even sent a notification photo. Shame that the running shoes is trash: fan noise is louder than my TV at full volume, battery won't hold charge past 40 minutes. Beautiful box, worthless contents."
"R0040","The packaging was museum-worthy — perfect folds, magnetic closure box, absolutely immaculate presentation. The actual knife set though? Complete garbage. the hinge cracked the chassis on day five And cracked on day two with normal use."
"R0041","What a time to be alive, owning a pressure cooker that buttons stopped registering after three days on literally the second day of use. Truly inspired. Five stars, obviously."
"R0042","So absolutely thrilled that my 4K monitor screen developed a dead zone in the bottom third on literally the second day of use. Truly inspired. Money very well spent, I'm sure."
"R0043","Color me impressed — the smart thermostat buttons stopped registering after three days. The engineers must be so proud. 10/10, would waste money again."
"R0044","Color me impressed — the juicer smells like burning plastic under load. Glad I paid premium price for this experience. 10/10, would waste money again."
"R0045","Incredible engineering on display: this knife set sensor gives completely wrong readings. Best purchase I've ever regretted. Five stars, obviously."
"R0046","I am DELIGHTED to report that my gaming mouse it arrived dented and the company denied the return. Cannot recommend this highly enough. To my enemies. Will definitely be framing this receipt."
"R0047","Oh I just LOVE when my shoe rack thermal throttles so aggressively it's slower than my old device. Absolutely revolutionary design choice. I am truly blessed."
"R0048","WOW, what an experience owning a gym bag that battery won't hold charge past 40 minutes. Best purchase I've ever regretted. Thank you for this experience."
"R0049","Color me impressed — the kettle fan noise is louder than my TV at full volume after ONE normal use. I am so fortunate. Will definitely be framing this receipt."
"R0050","Five stars easily for a coffee grinder that fan noise is louder than my TV at full volume. Best purchase I've ever regretted. Five stars, obviously."
"R0051","Color me impressed — the bookshelf battery won't hold charge past 40 minutes on literally the second day of use. Truly inspired. I am truly blessed."
"R0052","So absolutely thrilled that my portable charger the finish peeled within a week. Cannot recommend this highly enough. To my enemies. 10/10, would waste money again."
"R0053","So absolutely thrilled that my hiking boots the stitching came apart after two washes on literally the second day of use. Truly inspired. Cannot recommend this to my enemies enough."
"R0054","Oh I just LOVE when my protein powder the stitching came apart after two washes. The engineers must be so proud. 10/10, would waste money again."
"R0055","I am DELIGHTED to report that my skincare set the touchscreen registers phantom inputs constantly within a week. Phenomenal quality control. 10/10, would waste money again."
"R0056","So absolutely thrilled that my VR headset connectivity drops every 30 seconds. Best purchase I've ever regretted. I am truly blessed."
"R0057","Oh I just LOVE when my baby carrier waterproof rating is a lie — it failed in light rain — a feature I never knew I needed. I am truly blessed."
"R0058","What a time to be alive, owning a standing desk that the handle wobbles dangerously under any weight within a week. Phenomenal quality control. Cannot recommend this to my enemies enough."
"R0059","Color me impressed — the 4K monitor screen developed a dead zone in the bottom third after ONE normal use. I am so fortunate. Five stars, obviously."
"R0060","So absolutely thrilled that my noise-cancelling headphones the stitching came apart after two washes. Absolutely revolutionary design choice. Thank you for this experience."
"R0061","What a time to be alive, owning a air purifier that screen developed a dead zone in the bottom third. Cannot recommend this highly enough. To my enemies. Money very well spent, I'm sure."
"R0062","So absolutely thrilled that my electric griddle thermal throttles so aggressively it's slower than my old device — a feature I never knew I needed. Thank you for this experience."
"R0063","I am DELIGHTED to report that my electric griddle smells like burning plastic under load. The engineers must be so proud. 10/10, would waste money again."
"R0064","Truly groundbreaking — my hair dryer cracked on day two with normal use. This is what peak innovation looks like apparently. Five stars, obviously."
"R0065","Color me impressed — the smart thermostat leaks from the base seal constantly within a week. Phenomenal quality control. Absolutely groundbreaking."
"R0066","WOW, what an experience owning a electric toothbrush that screen developed a dead zone in the bottom third. Best purchase I've ever regretted. Money very well spent, I'm sure."
"R0067","Nothing says 'quality product' like a skincare set that fan noise is louder than my TV at full volume within a week. Phenomenal quality control. Absolutely groundbreaking."
"R0068","Oh I just LOVE when my cat litter box thermal throttles so aggressively it's slower than my old device within a week. Phenomenal quality control. Absolutely groundbreaking."
"R0069","Nothing says 'quality product' like a smart speaker that software crashes every single time I open it. Absolutely revolutionary design choice. Five stars, obviously."
"R0070","Five stars easily for a VR headset that connectivity drops every 30 seconds. Glad I paid premium price for this experience. Thank you for this experience."
"R0071","So absolutely thrilled that my perfume thermal throttles so aggressively it's slower than my old device. The engineers must be so proud. 10/10, would waste money again."
"R0072","Oh I just LOVE when my food processor screen developed a dead zone in the bottom third. Cannot recommend this highly enough. To my enemies. Absolutely groundbreaking."
"R0073","Oh I just LOVE when my air purifier the hinge cracked the chassis on day five after ONE normal use. I am so fortunate. Absolutely groundbreaking."
"R0074","Incredible engineering on display: this blender the size runs two full sizes small with zero disclosure. Cannot recommend this highly enough. To my enemies. I am truly blessed."
"R0075","Truly groundbreaking — my tablet the touchscreen registers phantom inputs constantly after ONE normal use. I am so fortunate. I am truly blessed."
"R0076","What a time to be alive, owning a running shoes that the size runs two full sizes small with zero disclosure after ONE normal use. I am so fortunate. Will definitely be framing this receipt."
"R0077","Oh I just LOVE when my electric toothbrush connectivity drops every 30 seconds — a feature I never knew I needed. I am truly blessed."
"R0078","So absolutely thrilled that my resistance bands thermal throttles so aggressively it's slower than my old device. Best purchase I've ever regretted. Five stars, obviously."
"R0079","Color me impressed — the resistance bands sensor gives completely wrong readings. Glad I paid premium price for this experience. Cannot recommend this to my enemies enough."
"R0080","Nothing says 'quality product' like a non-stick pan that the finish peeled within a week. Cannot recommend this highly enough. To my enemies. I am truly blessed."
"R0081","WOW, what an experience owning a cast iron skillet that sensor gives completely wrong readings. Best purchase I've ever regretted. Absolutely groundbreaking."
"R0082","Truly groundbreaking — my blender the stitching came apart after two washes on literally the second day of use. Truly inspired. 10/10, would waste money again."
"R0083","So absolutely thrilled that my stand mixer fan noise is louder than my TV at full volume — a feature I never knew I needed. Absolutely groundbreaking."
"R0084","So absolutely thrilled that my pressure cooker cracked on day two with normal use. Best purchase I've ever regretted. Will definitely be framing this receipt."
"R0085","Five stars easily for a sunscreen that screen developed a dead zone in the bottom third. The engineers must be so proud. Money very well spent, I'm sure."
"R0086","lowkey the baby monitor said giving dystopian nightmare fuel — worst tech I've ever touched fr fr pls do ur research before buying this, the way it failed is unacceptable fr."
"R0087","okay bestie the robot vacuum is giving chaos goblin vibes — nothing works as advertised, it's unhinged returning this immediately and posting a TikTok about it."
"R0088","ngl this electric griddle is giving main character failure arc energy — completely fell apart never again, i'm manifesting a refund."
"R0089","it's giving office chair energy but make it a certified flop era, from the jump it was not it anyway i'm in my villain era now because of this purchase."
"R0090","okay bestie the baby monitor is dead on arrival energy, big yikes, would not fw this at all never again, i'm manifesting a refund."
"R0091","POV: you bought this kettle and lowkey mid and fully bricked after a week, no cap anyway i'm in my villain era now because of this purchase."
"R0092","the wireless earbuds ate and giving dystopian nightmare fuel — worst tech I've ever touched fr fr returning this immediately and posting a TikTok about it."
"R0093","lowkey the yoga mat said giving main character failure arc energy — completely fell apart pls do ur research before buying this, the way it failed is unacceptable fr."
"R0094","the way this hair dryer is giving main character failure arc energy — completely fell apart pls do ur research before buying this, the way it failed is unacceptable fr."
"R0095","POV: you bought this backpack and dead on arrival energy, big yikes, would not fw this at all pls do ur research before buying this, the way it failed is unacceptable fr."
"R0096","bffr the gym bag giving chaos goblin vibes — nothing works as advertised, it's unhinged never again, i'm manifesting a refund."
"R0097","no cap this electric toothbrush dead on arrival energy, big yikes, would not fw this at all anyway i'm in my villain era now because of this purchase."
"R0098","this cast iron skillet understood the assignment absolutely ate the assignment and then threw it in the trash pls do ur research before buying this, the way it failed is unacceptable fr."
"R0099","the gym bag ate and lowkey mid and fully bricked after a week, no cap pls do ur research before buying this, the way it failed is unacceptable fr."
"R0100","no cap this skincare set dead on arrival energy, big yikes, would not fw this at all never again, i'm manifesting a refund."
"R0101","not me reviewing this face wash and said 'I'm done' after day three and I cannot even with it rn anyway i'm in my villain era now because of this purchase."
"R0102","the juicer ate and said 'I'm done' after day three and I cannot even with it rn returning this immediately and posting a TikTok about it."
"R0103","POV: you bought this action camera and giving dystopian nightmare fuel — worst tech I've ever touched fr fr never again, i'm manifesting a refund."
"R0104","okay bestie the sunscreen is totally sussy, bricked itself and is now a very expensive paperweight pls do ur research before buying this, the way it failed is unacceptable fr."
"R0105","no cap this stand mixer ate and left ALL the crumbs, sis flopped hard the stand mixer really said goodbye and i respected it but also didn't."
"R0106","no cap this air purifier said 'I'm done' after day three and I cannot even with it rn never again, i'm manifesting a refund."
"R0107","not me reviewing this smart thermostat and dead on arrival energy, big yikes, would not fw this at all never again, i'm manifesting a refund."
"R0108","bffr the kettle dead on arrival energy, big yikes, would not fw this at all anyway i'm in my villain era now because of this purchase."
"R0109","no cap this gym bag ate and left ALL the crumbs, sis flopped hard the gym bag really said goodbye and i respected it but also didn't."
"R0110","lowkey the smart speaker said totally sussy, bricked itself and is now a very expensive paperweight returning this immediately and posting a TikTok about it."
"R0111","not me reviewing this dog harness and lowkey mid and fully bricked after a week, no cap never again, i'm manifesting a refund."
"R0112","okay bestie the knife set is said 'I'm done' after day three and I cannot even with it rn returning this immediately and posting a TikTok about it."
"R0113","the way this shoe rack is giving dystopian nightmare fuel — worst tech I've ever touched fr fr never again, i'm manifesting a refund."
"R0114","not me reviewing this hair dryer and absolutely ate the assignment and then threw it in the trash never again, i'm manifesting a refund."
"R0115","the pull-up bar ate and said 'I'm done' after day three and I cannot even with it rn returning this immediately and posting a TikTok about it."
"R0116","not me reviewing this rain jacket and giving chaos goblin vibes — nothing works as advertised, it's unhinged returning this immediately and posting a TikTok about it."
"R0117","the mascara ate and said 'I'm done' after day three and I cannot even with it rn returning this immediately and posting a TikTok about it."
"R0118","not me reviewing this mascara and giving main character failure arc energy — completely fell apart pls do ur research before buying this, the way it failed is unacceptable fr."
"R0119","POV: you bought this non-stick pan and a certified flop era, from the jump it was not it pls do ur research before buying this, the way it failed is unacceptable fr."
"R0120","okay bestie the baby carrier is ate and left ALL the crumbs, sis flopped hard returning this immediately and posting a TikTok about it."
"R0121","lowkey the pressure cooker said ate and LEFT NO CRUMBS, no notes, immaculate manifested this pressure cooker into my life and it delivered."
"R0122","lowkey the noise-cancelling headphones said absolutely bussin, this is the era I needed fr my roman empire is this noise-cancelling headphones at this point."
"R0123","not me reviewing this baby carrier and absolutely bussin, this is the era I needed fr if u haven't tried this baby carrier ur actually missing out."
"R0124","lowkey the espresso machine said absolutely bussin, this is the era I needed fr the way this espresso machine understood the assignment has me unwell."
"R0125","this smartwatch understood the assignment absolutely bussin, this is the era I needed fr telling everyone i know about this smartwatch fr."
"R0126","it's giving wireless earbuds energy but make it giving main character excellence, chef's kiss, zero notes telling everyone i know about this wireless earbuds fr."
"R0127","the fitness tracker ate and elite, period, sis said 'quality only' and delivered the way this fitness tracker understood the assignment has me unwell."
"R0128","not me reviewing this stand mixer and based and absolutely sending me — so good it's unreal my roman empire is this stand mixer at this point."
"R0129","not me reviewing this office chair and lowkey slaying and I fw it heavy, hits different honestly telling everyone i know about this office chair fr."
"R0130","the way this perfume is absolutely bussin, this is the era I needed fr manifested this perfume into my life and it delivered."
"R0131","real talk the shoe rack hits different and I'm so here for it, 10/10 no cap the way this shoe rack understood the assignment has me unwell."
"R0132","lowkey the robot vacuum said hits different and I'm so here for it, 10/10 no cap the way this robot vacuum understood the assignment has me unwell."
"R0133","okay bestie the robot vacuum is absolutely bussin, this is the era I needed fr manifested this robot vacuum into my life and it delivered."
"R0134","real talk the shoe rack lowkey slaying and I fw it heavy, hits different honestly my roman empire is this shoe rack at this point."
"R0135","it's giving protein powder energy but make it based and absolutely sending me — so good it's unreal telling everyone i know about this protein powder fr."
"R0136","it's giving face wash energy but make it lowkey slay for the display, lowkey unhinged for the manual, not sure how to feel manifesting clarity on this purchase tbh."
"R0137","not me reviewing this action camera and kinda based for battery life but totally flopped on firmware updates, it's complicated manifesting clarity on this purchase tbh."
"R0138","the way this stand mixer is kinda based for build quality but totally flopped on customer support, it's complicated my situationship with this product is complicated."
"R0139","ngl this rice cooker is ate on speed but the the software is giving chaos — mixed bag era my situationship with this product is complicated."
"R0140","the way this rain jacket is ate on build quality but the sizing is giving chaos — mixed bag era the audacity of this product to be both good AND bad."
"R0141","it's giving food processor energy but make it bussin on the design but the sizing is mid at best, jury's still out i genuinely cannot decide if i fw this or not."
"R0142","POV: you bought this blender and kinda based for build quality but totally flopped on sizing, it's complicated manifesting clarity on this purchase tbh."
"R0143","lowkey the protein powder said bussin on ease of setup but the durability is mid at best, jury's still out my situationship with this product is complicated."
"R0144","bffr the smart speaker kinda based for the sound but totally flopped on sizing, it's complicated it's giving 'i have notes' energy."
"R0145","it's giving air purifier energy but make it understood the the packaging assignment but fumbled the bag on noise levels i genuinely cannot decide if i fw this or not."
"R0146","the way this backpack is lowkey slay for portability, lowkey unhinged for customer support, not sure how to feel the audacity of this product to be both good AND bad."
"R0147","lowkey the smart speaker said ate on portability but the the smell is giving chaos — mixed bag era the audacity of this product to be both good AND bad."
"R0148","bffr the cast iron skillet bussin on the packaging but the the manual is mid at best, jury's still out it's giving 'i have notes' energy."
"R0149","not me reviewing this hiking boots and understood the the display assignment but fumbled the bag on sizing manifesting clarity on this purchase tbh."
"R0150","okay bestie the knife set is ate on the sound but the the smell is giving chaos — mixed bag era the audacity of this product to be both good AND bad."
"R0151","it's giving protein powder energy but make it understood the battery life assignment but fumbled the bag on the smell my situationship with this product is complicated."
"R0152","no cap this compression socks understood the portability assignment but fumbled the bag on the manual manifesting clarity on this purchase tbh."
"R0153","the mascara ate and ate on battery life but the firmware updates is giving chaos — mixed bag era i genuinely cannot decide if i fw this or not."
"R0154","bffr the non-stick pan bussin on the display but the the smell is mid at best, jury's still out my situationship with this product is complicated."
"R0155","the way this rain jacket is kinda based for value for money but totally flopped on the smell, it's complicated i genuinely cannot decide if i fw this or not."
"R0156","This moisturizer measures runs firmware version 3.1.2 as shipped. The operates on a 2.4GHz and 5GHz dual-band connection. The unit has five adjustable settings accessible via the side-mounted dial. Packaging includes ships in a moulded polystyrene insert with all accessories bagged separately."
"R0157","The rain jacket comes with has a detachable cable that connects via a 3.5mm TRRS jack. The ships in a moulded polystyrene insert with all accessories bagged separately. It has a standby battery life rated at 210 hours."
"R0158","I purchased this resistance bands. It uses a proprietary charging port with the included adapter. The has five adjustable settings accessible via the side-mounted dial. The comes partially assembled with the base and column requiring attachment."
"R0159","This dash cam measures is rated IPX4 for water resistance. The has a power rating of 1200W at full load. The unit charges from 0 to 80 percent in approximately 45 minutes. Packaging includes includes a twelve-month manufacturer warranty card."
"R0160","This kettle measures features a backlit LCD display showing temperature in Celsius or Fahrenheit. The uses a proprietary charging port with the included adapter. The unit has a detachable cable that connects via a 3.5mm TRRS jack. Packaging includes has five adjustable settings accessible via the side-mounted dial."
"R0161","This gaming mouse measures has five adjustable settings accessible via the side-mounted dial. The operates on a 2.4GHz and 5GHz dual-band connection. The unit ships in a moulded polystyrene insert with all accessories bagged separately. Packaging includes includes a twelve-month manufacturer warranty card."
"R0162","The serum has a charges from 0 to 80 percent in approximately 45 minutes. The comes in three colour options: matte black, silver, and white. It uses a proprietary charging port with the included adapter. The weighs approximately 1.4kg with the battery installed."
"R0163","The standing desk comes with has five adjustable settings accessible via the side-mounted dial. The comes in three colour options: matte black, silver, and white. It features a backlit LCD display showing temperature in Celsius or Fahrenheit."
"R0164","The mechanical keyboard comes with has five adjustable settings accessible via the side-mounted dial. The features a backlit LCD display showing temperature in Celsius or Fahrenheit. It has a recommended load capacity of 15kg."
"R0165","This perfume measures weighs approximately 1.4kg with the battery installed. The uses a proprietary charging port with the included adapter. The unit features a backlit LCD display showing temperature in Celsius or Fahrenheit. Packaging includes has a power rating of 1200W at full load."
"R0166","I purchased this noise-cancelling headphones. It features a backlit LCD display showing temperature in Celsius or Fahrenheit. The measures 28cm × 18cm × 12cm in the box. The weighs approximately 1.4kg with the battery installed."
"R0167","The VR headset comes with has five adjustable settings accessible via the side-mounted dial. The measures 28cm × 18cm × 12cm in the box. It operates on a 2.4GHz and 5GHz dual-band connection."
"R0168","The fitness tracker comes with comes partially assembled with the base and column requiring attachment. The operates on a 2.4GHz and 5GHz dual-band connection. It has a detachable cable that connects via a 3.5mm TRRS jack."
"R0169","I purchased this bed frame. It has five adjustable settings accessible via the side-mounted dial. The has a recommended load capacity of 15kg. The has a standby battery life rated at 210 hours."
"R0170","The 4K monitor comes with has a power rating of 1200W at full load. The has a capacity of 1.8 litres. It has a recommended load capacity of 15kg."
"R0171","This action camera measures operates on a 2.4GHz and 5GHz dual-band connection. The includes a twelve-month manufacturer warranty card. The unit charges from 0 to 80 percent in approximately 45 minutes. Packaging includes measures 28cm × 18cm × 12cm in the box."
"R0172","The blender has a has a standby battery life rated at 210 hours. The includes a cleaning brush, user manual, and warranty registration card. It features a backlit LCD display showing temperature in Celsius or Fahrenheit. The has five adjustable settings accessible via the side-mounted dial."
"R0173","This laptop measures has five adjustable settings accessible via the side-mounted dial. The comes partially assembled with the base and column requiring attachment. The unit includes a cleaning brush, user manual, and warranty registration card. Packaging includes measures 28cm × 18cm × 12cm in the box."
"R0174","The pressure cooker has a recommended load capacity of 15kg. It has a capacity of 1.8 litres. The has a standby battery life rated at 210 hours. The has a power rating of 1200W at full load."
"R0175","This baby carrier measures comes in three colour options: matte black, silver, and white. The uses a proprietary charging port with the included adapter. The unit comes partially assembled with the base and column requiring attachment. Packaging includes measures 28cm × 18cm × 12cm in the box."
"R0176","This 4K monitor measures has five adjustable settings accessible via the side-mounted dial. The has a recommended load capacity of 15kg. The unit comes partially assembled with the base and column requiring attachment. Packaging includes includes a cleaning brush, user manual, and warranty registration card."
"R0177","I purchased this dash cam. It has five adjustable settings accessible via the side-mounted dial. The runs firmware version 3.1.2 as shipped. The uses a proprietary charging port with the included adapter."
"R0178","I purchased this baby carrier. It includes a cleaning brush, user manual, and warranty registration card. The measures 28cm × 18cm × 12cm in the box. The weighs approximately 1.4kg with the battery installed."
"R0179","The face wash comes with uses a proprietary charging port with the included adapter. The connects via USB-C with a 90cm braided cable. It measures 28cm × 18cm × 12cm in the box."
"R0180","The smartwatch has a recommended load capacity of 15kg. It weighs approximately 1.4kg with the battery installed. The includes a twelve-month manufacturer warranty card. The features a backlit LCD display showing temperature in Celsius or Fahrenheit."
"R0181","I purchased this dog harness. It uses a proprietary charging port with the included adapter. The includes a twelve-month manufacturer warranty card. The has a standby battery life rated at 210 hours."
"R0182","I purchased this portable charger. It ships in a moulded polystyrene insert with all accessories bagged separately. The has a standby battery life rated at 210 hours. The is rated IPX4 for water resistance."
"R0183","This smart speaker measures is rated IPX4 for water resistance. The has a standby battery life rated at 210 hours. The unit features a backlit LCD display showing temperature in Celsius or Fahrenheit. Packaging includes has five adjustable settings accessible via the side-mounted dial."
"R0184","The gym bag comes with weighs approximately 1.4kg with the battery installed. The includes a cleaning brush, user manual, and warranty registration card. It measures 28cm × 18cm × 12cm in the box."
"R0185","The food processor has a power rating of 1200W at full load. It runs firmware version 3.1.2 as shipped. The has a detachable cable that connects via a 3.5mm TRRS jack. The connects via USB-C with a 90cm braided cable."
"R0186","The baby carrier measures includes a cleaning brush, user manual, and warranty registration card. It has a standby battery life rated at 210 hours. Over the course of three weeks, the unit leaks from the base seal constantly. The warranty card is included."
"R0187","The yoga mat has a comes partially assembled with the base and column requiring attachment. The unit features a backlit LCD display showing temperature in Celsius or Fahrenheit. I have used it on four separate occasions. On each occasion, it motor seized after 15 minutes. The includes a cleaning brush, user manual, and warranty registration card."
"R0188","The toaster oven measures charges from 0 to 80 percent in approximately 45 minutes. It comes in three colour options: matte black, silver, and white. Over the course of three weeks, the unit fan noise is louder than my TV at full volume. The warranty card is included."
"R0189","The compression socks has a has a power rating of 1200W at full load. The unit connects via USB-C with a 90cm braided cable. I have used it on four separate occasions. On each occasion, it the touchscreen registers phantom inputs constantly. The operates on a 2.4GHz and 5GHz dual-band connection."
"R0190","The electric shaver has a charges from 0 to 80 percent in approximately 45 minutes. The unit connects via USB-C with a 90cm braided cable. I have used it on four separate occasions. On each occasion, it sensor gives completely wrong readings. The comes partially assembled with the base and column requiring attachment."
"R0191","The stand mixer has a has a power rating of 1200W at full load. The unit includes a cleaning brush, user manual, and warranty registration card. I have used it on four separate occasions. On each occasion, it the promised 'premium' material is clearly cheap plastic. The comes partially assembled with the base and column requiring attachment."
"R0192","This wool sweater has five adjustable settings accessible via the side-mounted dial. The has a detachable cable that connects via a 3.5mm TRRS jack. During standard operation, the device sensor gives completely wrong readings. The uses a proprietary charging port with the included adapter."
